activity_id,company_id,contact_id,deal_id,activity_type,activity_date,outcome,owner_id
act_0001,co_0075,ct_0141,deal_0001,Email,2026-06-08,No response,own_002
act_0002,co_0075,ct_0140,deal_0001,Call,2026-06-12,No response,own_002
act_0003,co_0075,ct_0141,deal_0001,Task,2026-08-12,Rescheduled,own_002
act_0004,co_0065,ct_0119,deal_0002,Email,2026-09-11,Follow-up needed,own_001
act_0005,co_0065,ct_0119,deal_0002,Demo,2026-07-12,Completed,own_001
act_0006,co_0063,ct_0117,deal_0003,Task,2026-08-02,Completed,own_001
act_0007,co_0063,ct_0117,deal_0003,Email,2026-06-10,No response,own_001
act_0008,co_0063,ct_0117,deal_0003,Email,2026-07-16,Follow-up needed,own_001
act_0009,co_0063,ct_0117,deal_0003,Email,2026-07-16,Completed,own_001
act_0010,co_0063,ct_0117,deal_0003,Call,2026-07-05,Completed,own_001
act_0011,co_0063,ct_0117,deal_0003,Email,2026-08-16,Rescheduled,own_001
act_0012,co_0019,ct_0036,deal_0004,Email,2026-06-02,Rescheduled,own_001
act_0013,co_0019,ct_0037,deal_0004,Email,2026-06-01,Rescheduled,own_001
act_0014,co_0019,ct_0036,deal_0004,Demo,2026-06-20,Completed,own_001
act_0015,co_0019,ct_0036,deal_0004,Email,2026-06-08,Completed,own_001
act_0016,co_0019,ct_0037,deal_0004,Email,2026-07-04,Completed,own_001
act_0017,co_0078,ct_0147,deal_0005,Call,2026-08-18,Positive,own_001
act_0018,co_0078,ct_0148,deal_0005,Call,2026-08-22,Completed,own_001
act_0019,co_0080,ct_0151,deal_0006,Task,2026-05-31,Completed,own_002
act_0020,co_0080,ct_0151,deal_0006,Email,2026-05-15,Positive,own_002
act_0021,co_0048,ct_0091,deal_0007,Call,2026-03-25,Completed,own_001
act_0022,co_0048,ct_0090,deal_0007,Task,2026-04-14,Rescheduled,own_001
act_0023,co_0048,ct_0091,deal_0007,Task,2026-05-26,Follow-up needed,own_001
act_0024,co_0048,ct_0090,deal_0007,Meeting,2026-04-15,Positive,own_001
