lead_id,company_id,contact_id,source,lifecycle_stage,lead_score,created_at,first_response_at,owner_id
lead_0001,co_0070,ct_0130,Website,Disqualified,21,2026-03-16,,own_002
lead_0002,co_0074,ct_0138,Unknown,Qualified,69,2026-08-06,2026-08-06,
lead_0003,co_0049,ct_0093,Referral,Qualified,56,2026-02-14,,
lead_0004,co_0033,ct_0064,Unknown,Qualified,71,2026-01-29,2026-01-29,own_001
lead_0005,co_0074,ct_0137,,Disqualified,44,2026-08-07,2026-08-08,
lead_0006,co_0056,ct_0105,Event,New Lead,94,2026-05-20,2026-05-20,own_002
lead_0007,co_0019,ct_0036,Website,Disqualified,64,2026-05-24,2026-05-29,own_002
lead_0008,co_0064,ct_0118,website,Qualified,34,2026-08-11,2026-08-11,own_002
lead_0009,co_0044,ct_0083,,New Lead,21,2026-01-31,2026-01-31,own_001
lead_0010,co_0048,ct_0090,Event,New Lead,95,2026-03-19,2026-03-19,own_002
lead_0011,co_0062,ct_0115,,Qualified,41,2026-04-28,2026-04-28,own_001
lead_0012,co_0056,ct_0105,LinkedIn,Qualified,43,2026-04-23,2026-04-24,own_001
lead_0013,co_0033,ct_0064,Outbound,New Lead,25,2026-03-09,2026-03-09,own_002
lead_0014,co_0003,ct_0004,Website,Qualified,38,2026-02-21,2026-02-21,own_002
lead_0015,co_0077,ct_0143,Partner,Qualified,62,2026-06-14,2026-06-17,own_002
lead_0016,co_0001,ct_0001,website,Qualified,54,2026-02-04,2026-02-07,
lead_0017,co_0065,ct_0119,Event,Qualified,64,2026-07-06,2026-07-06,
lead_0018,co_0019,ct_0036,LinkedIn,New Lead,81,2026-05-03,2026-05-04,own_001
lead_0019,co_0030,ct_0056,Website,Qualified,55,2026-01-30,2026-01-30,
lead_0020,co_0029,ct_0055,linked in,Qualified,70,2026-06-06,2026-06-06,
lead_0021,co_0027,ct_0052,website,Qualified,26,2026-04-13,2026-04-13,
lead_0022,co_0018,ct_0035,Website,Qualified,72,2026-01-17,2026-01-18,own_002
lead_0023,co_0062,ct_0115,website,Qualified,40,2026-04-27,2026-04-27,
