task_id,company_id,related_object,related_id,task_type,due_date,status,owner_id,created_by_workflow
task_0001,co_0063,onboarding,onb_0001,Kickoff,2026-07-15,Done,own_003,False
task_0002,co_0063,onboarding,onb_0001,Data Import,2026-07-20,Done,own_003,False
task_0003,co_0063,onboarding,onb_0001,User Training,2026-07-25,Done,own_003,False
task_0004,co_0063,onboarding,onb_0001,Workflow Setup,2026-07-30,Done,own_004,False
task_0005,co_0063,onboarding,onb_0001,Go-Live Review,2026-08-04,Open,own_004,False
task_0006,co_0080,onboarding,onb_0002,Kickoff,2026-08-09,Done,own_003,False
task_0007,co_0080,onboarding,onb_0002,Data Import,2026-08-14,Done,own_004,False
task_0008,co_0080,onboarding,onb_0002,User Training,2026-08-19,Done,own_004,False
task_0009,co_0080,onboarding,onb_0002,Workflow Setup,2026-08-24,Open,own_003,False
task_0010,co_0080,onboarding,onb_0002,Go-Live Review,2026-08-29,Open,own_003,False
task_0011,co_0049,onboarding,onb_0003,Kickoff,2026-08-27,Done,own_003,False
task_0012,co_0049,onboarding,onb_0003,Data Import,2026-09-01,Done,own_004,False
task_0013,co_0049,onboarding,onb_0003,User Training,2026-09-06,Done,own_003,False
task_0014,co_0049,onboarding,onb_0003,Workflow Setup,2026-09-11,Overdue,own_004,False
task_0015,co_0049,onboarding,onb_0003,Go-Live Review,2026-09-16,Open,own_004,False
task_0016,co_0001,onboarding,onb_0004,Kickoff,2026-11-30,Done,own_003,False
task_0017,co_0001,onboarding,onb_0004,Data Import,2026-12-05,Done,own_003,False
task_0018,co_0001,onboarding,onb_0004,User Training,2026-12-10,Done,own_004,False
task_0019,co_0001,onboarding,onb_0004,Workflow Setup,2026-12-15,Overdue,own_004,False
task_0020,co_0001,onboarding,onb_0004,Go-Live Review,2026-12-20,Overdue,own_003,False
task_0021,co_0060,onboarding,onb_0005,Kickoff,2026-10-12,Done,own_003,False
task_0022,co_0060,onboarding,onb_0005,Data Import,2026-10-17,Done,own_003,False
task_0023,co_0060,onboarding,onb_0005,User Training,2026-10-22,Open,own_003,False
task_0024,co_0060,onboarding,onb_0005,Workflow Setup,2026-10-27,Overdue,own_003,False
task_0025,co_0060,onboarding,onb_0005,Go-Live Review,2026-11-01,Overdue,own_004,False
task_0026,co_0056,onboarding,onb_0006,Kickoff,2026-10-20,Done,own_003,False
task_0027,co_0056,onboarding,onb_0006,Data Import,2026-10-25,Done,own_003,False
task_0028,co_0056,onboarding,onb_0006,User Training,2026-10-30,Done,own_003,False
task_0029,co_0056,onboarding,onb_0006,Workflow Setup,2026-11-04,Done,own_004,False
task_0030,co_0056,onboarding,onb_0006,Go-Live Review,2026-11-09,Done,own_003,False
task_0031,co_0065,onboarding,onb_0007,Kickoff,2026-10-22,Done,own_004,False
task_0032,co_0065,onboarding,onb_0007,Data Import,2026-10-27,Done,own_004,False
task_0033,co_0065,onboarding,onb_0007,User Training,2026-11-01,Done,own_003,False
task_0034,co_0065,onboarding,onb_0007,Workflow Setup,2026-11-06,Open,own_003,False
task_0035,co_0065,onboarding,onb_0007,Go-Live Review,2026-11-11,Open,own_004,False
task_0036,co_0077,onboarding,onb_0008,Kickoff,2026-07-01,Done,own_004,False
task_0037,co_0077,onboarding,onb_0008,Data Import,2026-07-06,Done,own_003,False
task_0038,co_0077,onboarding,onb_0008,User Training,2026-07-11,Done,own_004,False
task_0039,co_0077,onboarding,onb_0008,Workflow Setup,2026-07-16,Done,own_004,False
task_0040,co_0077,onboarding,onb_0008,Go-Live Review,2026-07-21,Overdue,own_003,False
task_0041,co_0049,onboarding,onb_0009,Kickoff,2026-06-09,Done,own_003,False
task_0042,co_0049,onboarding,onb_0009,Data Import,2026-06-14,Done,own_004,False
task_0043,co_0049,onboarding,onb_0009,User Training,2026-06-19,Done,own_004,False
task_0044,co_0049,onboarding,onb_0009,Workflow Setup,2026-06-24,Done,own_004,False
task_0045,co_0049,onboarding,onb_0009,Go-Live Review,2026-06-29,Overdue,own_004,False
task_0046,co_0018,onboarding,onb_0010,Kickoff,2026-03-09,Done,own_004,False
task_0047,co_0018,onboarding,onb_0010,Data Import,2026-03-14,Done,own_004,False
task_0048,co_0018,onboarding,onb_0010,User Training,2026-03-19,Done,own_003,False
task_0049,co_0018,onboarding,onb_0010,Workflow Setup,2026-03-24,Overdue,own_004,False
task_0050,co_0018,onboarding,onb_0010,Go-Live Review,2026-03-29,Overdue,own_004,False
task_0051,co_0033,onboarding,onb_0011,Kickoff,2026-05-13,Done,own_003,False
task_0052,co_0033,onboarding,onb_0011,Data Import,2026-05-18,Done,own_003,False
task_0053,co_0033,onboarding,onb_0011,User Training,2026-05-23,Done,own_003,False
task_0054,co_0033,onboarding,onb_0011,Workflow Setup,2026-05-28,Done,own_004,False
task_0055,co_0033,onboarding,onb_0011,Go-Live Review,2026-06-02,Open,own_003,False
task_0056,co_0014,onboarding,onb_0012,Kickoff,2026-07-27,Done,own_003,False
task_0057,co_0014,onboarding,onb_0012,Data Import,2026-08-01,Done,own_003,False
task_0058,co_0014,onboarding,onb_0012,User Training,2026-08-06,Overdue,own_004,False
task_0059,co_0014,onboarding,onb_0012,Workflow Setup,2026-08-11,Open,own_004,False
task_0060,co_0014,onboarding,onb_0012,Go-Live Review,2026-08-16,Overdue,own_003,False
task_0061,co_0047,onboarding,onb_0013,Kickoff,2026-04-09,Done,own_003,False
task_0062,co_0047,onboarding,onb_0013,Data Import,2026-04-14,Done,own_003,False
task_0063,co_0047,onboarding,onb_0013,User Training,2026-04-19,Done,own_004,False
task_0064,co_0047,onboarding,onb_0013,Workflow Setup,2026-04-24,Overdue,own_003,False
task_0065,co_0047,onboarding,onb_0013,Go-Live Review,2026-04-29,Open,own_004,False
task_0066,co_0047,onboarding,onb_0014,Kickoff,2026-04-18,Done,own_003,False
task_0067,co_0047,onboarding,onb_0014,Data Import,2026-04-23,Done,own_004,False
task_0068,co_0047,onboarding,onb_0014,User Training,2026-04-28,Done,own_004,False
task_0069,co_0047,onboarding,onb_0014,Workflow Setup,2026-05-03,Done,own_003,False
task_0070,co_0047,onboarding,onb_0014,Go-Live Review,2026-05-08,Done,own_003,False
task_0071,co_0001,onboarding,onb_0015,Kickoff,2026-11-23,Done,own_003,False
task_0072,co_0001,onboarding,onb_0015,Data Import,2026-11-28,Done,own_003,False
task_0073,co_0001,onboarding,onb_0015,User Training,2026-12-03,Done,own_003,False
task_0074,co_0001,onboarding,onb_0015,Workflow Setup,2026-12-08,Done,own_004,False
task_0075,co_0001,onboarding,onb_0015,Go-Live Review,2026-12-13,Done,own_003,False
task_0076,co_0074,onboarding,onb_0016,Kickoff,2026-03-06,Done,own_004,False
task_0077,co_0074,onboarding,onb_0016,Data Import,2026-03-11,Overdue,own_004,False
task_0078,co_0074,onboarding,onb_0016,User Training,2026-03-16,Overdue,own_003,False
task_0079,co_0074,onboarding,onb_0016,Workflow Setup,2026-03-21,Open,own_003,False
task_0080,co_0074,onboarding,onb_0016,Go-Live Review,2026-03-26,Open,own_004,False
task_0081,co_0065,onboarding,onb_0017,Kickoff,2026-09-18,Done,own_003,False
task_0082,co_0065,onboarding,onb_0017,Data Import,2026-09-23,Done,own_003,False
task_0083,co_0065,onboarding,onb_0017,User Training,2026-09-28,Done,own_004,False
task_0084,co_0065,onboarding,onb_0017,Workflow Setup,2026-10-03,Done,own_004,False
task_0085,co_0065,onboarding,onb_0017,Go-Live Review,2026-10-08,Done,own_004,False
task_0086,co_0044,onboarding,onb_0018,Kickoff,2026-08-16,Done,own_004,False
task_0087,co_0044,onboarding,onb_0018,Data Import,2026-08-21,Done,own_004,False
task_0088,co_0044,onboarding,onb_0018,User Training,2026-08-26,Done,own_003,False
task_0089,co_0044,onboarding,onb_0018,Workflow Setup,2026-08-31,Done,own_003,False
task_0090,co_0044,onboarding,onb_0018,Go-Live Review,2026-09-05,Open,own_003,False
task_0091,co_0043,onboarding,onb_0019,Kickoff,2026-05-08,Done,own_004,False
task_0092,co_0043,onboarding,onb_0019,Data Import,2026-05-13,Done,own_004,False
task_0093,co_0043,onboarding,onb_0019,User Training,2026-05-18,Done,own_004,False
task_0094,co_0043,onboarding,onb_0019,Workflow Setup,2026-05-23,Done,own_003,False
task_0095,co_0043,onboarding,onb_0019,Go-Live Review,2026-05-28,Done,own_004,False
task_0096,co_0018,onboarding,onb_0020,Kickoff,2026-03-24,Done,own_003,False
task_0097,co_0018,onboarding,onb_0020,Data Import,2026-03-29,Done,own_004,False
task_0098,co_0018,onboarding,onb_0020,User Training,2026-04-03,Done,own_003,False
task_0099,co_0018,onboarding,onb_0020,Workflow Setup,2026-04-08,Open,own_004,False
task_0100,co_0018,onboarding,onb_0020,Go-Live Review,2026-04-13,Overdue,own_004,False
task_0101,co_0070,onboarding,onb_0021,Kickoff,2026-09-08,Done,own_003,False
task_0102,co_0070,onboarding,onb_0021,Data Import,2026-09-13,Done,own_003,False
task_0103,co_0070,onboarding,onb_0021,User Training,2026-09-18,Done,own_003,False
task_0104,co_0070,onboarding,onb_0021,Workflow Setup,2026-09-23,Done,own_004,False
task_0105,co_0070,onboarding,onb_0021,Go-Live Review,2026-09-28,Done,own_003,False
task_0106,co_0072,onboarding,onb_0022,Kickoff,2026-09-24,Done,own_004,False
task_0107,co_0072,onboarding,onb_0022,Data Import,2026-09-29,Done,own_004,False
task_0108,co_0072,onboarding,onb_0022,User Training,2026-10-04,Done,own_004,False
task_0109,co_0072,onboarding,onb_0022,Workflow Setup,2026-10-09,Done,own_003,False
task_0110,co_0072,onboarding,onb_0022,Go-Live Review,2026-10-14,Done,own_004,False
task_0111,co_0044,onboarding,onb_0023,Kickoff,2026-04-21,Done,own_004,False
task_0112,co_0044,onboarding,onb_0023,Data Import,2026-04-26,Done,own_003,False
