usage_event_id,company_id,subscription_id,event_month,active_users,shipments_processed,automations_run,last_login_date
use_0001,co_0063,sub_0001,2026-04-01,43,79,7,2026-09-04
use_0002,co_0063,sub_0001,2026-05-01,33,102,11,2026-08-06
use_0003,co_0063,sub_0001,2026-06-01,44,98,9,2026-09-04
use_0004,co_0063,sub_0001,2026-07-01,30,77,7,2026-09-04
use_0005,co_0063,sub_0001,2026-08-01,24,92,16,2026-09-06
use_0006,co_0063,sub_0001,2026-09-01,48,111,9,2026-09-06
use_0007,co_0080,sub_0002,2026-04-01,4,213,33,2026-08-24
use_0008,co_0080,sub_0002,2026-05-01,48,200,37,2026-08-06
use_0009,co_0080,sub_0002,2026-06-01,16,264,24,2026-09-06
use_0010,co_0080,sub_0002,2026-07-01,40,264,29,2026-08-06
use_0011,co_0080,sub_0002,2026-08-01,15,244,20,2026-09-06
use_0012,co_0080,sub_0002,2026-09-01,37,191,16,2026-09-06
use_0013,co_0049,sub_0003,2026-04-01,46,94,11,2026-09-06
use_0014,co_0049,sub_0003,2026-05-01,32,74,7,2026-07-14
use_0015,co_0049,sub_0003,2026-06-01,50,70,8,2026-09-04
use_0016,co_0049,sub_0003,2026-07-01,48,66,6,2026-08-06
use_0017,co_0049,sub_0003,2026-08-01,52,67,6,2026-07-14
use_0018,co_0049,sub_0003,2026-09-01,10,71,7,2026-08-24
use_0019,co_0001,sub_0004,2026-04-01,12,315,32,2026-07-14
use_0020,co_0001,sub_0004,2026-05-01,39,345,48,2026-07-14
use_0021,co_0001,sub_0004,2026-06-01,35,282,51,2026-08-24
use_0022,co_0001,sub_0004,2026-07-01,23,348,35,2026-07-14
use_0023,co_0001,sub_0004,2026-08-01,4,213,23,2026-08-24
use_0024,co_0001,sub_0004,2026-09-01,30,284,48,2026-08-24
use_0025,co_0060,sub_0005,2026-04-01,35,269,28,2026-08-24
use_0026,co_0060,sub_0005,2026-05-01,35,399,71,2026-08-06
use_0027,co_0060,sub_0005,2026-06-01,19,267,36,2026-08-31
use_0028,co_0060,sub_0005,2026-07-01,45,423,35,2026-09-04
use_0029,co_0060,sub_0005,2026-08-01,31,340,60,2026-09-04
use_0030,co_0060,sub_0005,2026-09-01,52,432,43,2026-09-06
use_0031,co_0056,sub_0006,2026-04-01,54,725,117,2026-08-06
use_0032,co_0056,sub_0006,2026-05-01,34,499,70,2026-08-31
use_0033,co_0056,sub_0006,2026-06-01,11,622,66,2026-08-31
use_0034,co_0056,sub_0006,2026-07-01,39,623,52,2026-08-31
use_0035,co_0056,sub_0006,2026-08-01,52,756,72,2026-09-04
use_0036,co_0056,sub_0006,2026-09-01,11,616,69,2026-08-31
use_0037,co_0065,sub_0007,2026-04-01,25,1076,96,2026-08-31
use_0038,co_0065,sub_0007,2026-05-01,8,1060,99,2026-07-14
use_0039,co_0065,sub_0007,2026-06-01,38,1002,133,2026-09-04
use_0040,co_0065,sub_0007,2026-07-01,21,1073,148,2026-08-24
use_0041,co_0065,sub_0007,2026-08-01,46,922,93,2026-09-06
use_0042,co_0065,sub_0007,2026-09-01,21,900,101,2026-08-24
use_0043,co_0077,sub_0008,2026-04-01,17,832,71,2026-09-04
use_0044,co_0077,sub_0008,2026-05-01,5,996,88,2026-08-24
use_0045,co_0077,sub_0008,2026-06-01,34,979,177,2026-09-04
use_0046,co_0077,sub_0008,2026-07-01,5,650,55,2026-08-24
use_0047,co_0077,sub_0008,2026-08-01,14,969,94,2026-09-04
use_0048,co_0077,sub_0008,2026-09-01,18,877,108,2026-08-31
use_0049,co_0049,sub_0009,2026-04-01,16,530,45,2026-09-04
use_0050,co_0049,sub_0009,2026-05-01,36,497,67,2026-09-04
use_0051,co_0049,sub_0009,2026-06-01,3,608,77,2026-09-06
use_0052,co_0049,sub_0009,2026-07-01,17,516,56,2026-08-24
use_0053,co_0049,sub_0009,2026-08-01,21,367,46,2026-09-06
use_0054,co_0049,sub_0009,2026-09-01,20,279,43,2026-09-04
use_0055,co_0018,sub_0010,2026-04-01,13,637,106,2026-09-06
use_0056,co_0018,sub_0010,2026-05-01,5,794,70,2026-09-04
use_0057,co_0018,sub_0010,2026-06-01,53,977,86,2026-09-04
use_0058,co_0018,sub_0010,2026-07-01,23,954,190,2026-09-06
use_0059,co_0018,sub_0010,2026-08-01,6,556,79,2026-09-06
use_0060,co_0018,sub_0010,2026-09-01,6,598,67,2026-07-14
use_0061,co_0033,sub_0011,2026-04-01,22,522,44,2026-09-04
use_0062,co_0033,sub_0011,2026-05-01,25,401,59,2026-08-24
use_0063,co_0033,sub_0011,2026-06-01,42,439,48,2026-09-04
use_0064,co_0033,sub_0011,2026-07-01,44,400,47,2026-08-06
use_0065,co_0033,sub_0011,2026-08-01,38,400,58,2026-08-31
use_0066,co_0033,sub_0011,2026-09-01,37,479,40,2026-09-04
use_0067,co_0014,sub_0012,2026-04-01,30,193,20,2026-08-24
use_0068,co_0014,sub_0012,2026-05-01,25,132,13,2026-08-06
use_0069,co_0014,sub_0012,2026-06-01,9,137,14,2026-08-06
use_0070,co_0014,sub_0012,2026-07-01,5,203,38,2026-09-04
use_0071,co_0014,sub_0012,2026-08-01,46,149,17,2026-08-06
use_0072,co_0014,sub_0012,2026-09-01,53,158,26,2026-09-06
use_0073,co_0047,sub_0013,2026-04-01,53,118,16,2026-09-04
use_0074,co_0047,sub_0013,2026-05-01,21,126,11,2026-09-06
use_0075,co_0047,sub_0013,2026-06-01,22,136,13,2026-09-04
use_0076,co_0047,sub_0013,2026-07-01,22,111,14,2026-09-06
use_0077,co_0047,sub_0013,2026-08-01,5,104,8,2026-08-31
use_0078,co_0047,sub_0013,2026-09-01,8,110,11,2026-09-04
use_0079,co_0047,sub_0014,2026-04-01,5,684,121,2026-09-06
use_0080,co_0047,sub_0014,2026-05-01,25,606,69,2026-09-06
use_0081,co_0047,sub_0014,2026-06-01,22,678,127,2026-09-04
use_0082,co_0047,sub_0014,2026-07-01,46,552,51,2026-08-24
use_0083,co_0047,sub_0014,2026-08-01,26,766,109,2026-09-04
use_0084,co_0047,sub_0014,2026-09-01,3,649,67,2026-09-04
use_0085,co_0001,sub_0015,2026-04-01,31,224,24,2026-07-14
use_0086,co_0001,sub_0015,2026-05-01,45,248,23,2026-09-04
use_0087,co_0001,sub_0015,2026-06-01,26,238,43,2026-09-06
use_0088,co_0001,sub_0015,2026-07-01,15,245,34,2026-09-04
use_0089,co_0001,sub_0015,2026-08-01,23,236,23,2026-08-06
use_0090,co_0001,sub_0015,2026-09-01,31,174,28,2026-08-31
use_0091,co_0074,sub_0016,2026-04-01,3,308,50,2026-08-06
use_0092,co_0074,sub_0016,2026-05-01,23,304,50,2026-09-04
use_0093,co_0074,sub_0016,2026-06-01,53,279,29,2026-09-04
use_0094,co_0074,sub_0016,2026-07-01,45,337,30,2026-08-06
use_0095,co_0074,sub_0016,2026-08-01,29,275,24,2026-08-31
use_0096,co_0074,sub_0016,2026-09-01,45,311,38,2026-09-04
use_0097,co_0065,sub_0017,2026-04-01,47,107,12,2026-08-24
use_0098,co_0065,sub_0017,2026-05-01,47,87,8,2026-07-14
use_0099,co_0065,sub_0017,2026-06-01,52,118,21,2026-09-04
use_0100,co_0065,sub_0017,2026-07-01,43,122,12,2026-08-31
use_0101,co_0065,sub_0017,2026-08-01,52,113,10,2026-08-06
use_0102,co_0065,sub_0017,2026-09-01,37,89,7,2026-07-14
use_0103,co_0044,sub_0018,2026-04-01,37,356,35,2026-09-06
use_0104,co_0044,sub_0018,2026-05-01,19,533,61,2026-08-06
use_0105,co_0044,sub_0018,2026-06-01,34,489,57,2026-09-06
use_0106,co_0044,sub_0018,2026-07-01,38,421,37,2026-07-14
use_0107,co_0044,sub_0018,2026-08-01,49,489,46,2026-08-06
use_0108,co_0044,sub_0018,2026-09-01,44,441,64,2026-08-06
use_0109,co_0043,sub_0019,2026-04-01,12,210,18,2026-07-14
use_0110,co_0043,sub_0019,2026-05-01,3,204,28,2026-09-06
use_0111,co_0043,sub_0019,2026-06-01,28,204,18,2026-07-14
use_0112,co_0043,sub_0019,2026-07-01,18,300,47,2026-09-04
use_0113,co_0043,sub_0019,2026-08-01,50,242,25,2026-09-06
use_0114,co_0043,sub_0019,2026-09-01,15,210,18,2026-08-06
use_0115,co_0018,sub_0020,2026-04-01,14,740,65,2026-09-06
use_0116,co_0018,sub_0020,2026-05-01,45,760,72,2026-07-14
use_0117,co_0018,sub_0020,2026-06-01,34,1008,119,2026-09-06
use_0118,co_0018,sub_0020,2026-07-01,31,675,64,2026-08-24
use_0119,co_0018,sub_0020,2026-08-01,13,687,62,2026-07-14
use_0120,co_0018,sub_0020,2026-09-01,45,1034,114,2026-08-24
use_0121,co_0070,sub_0021,2026-04-01,38,592,105,2026-08-31
use_0122,co_0070,sub_0021,2026-05-01,22,858,86,2026-08-24
use_0123,co_0070,sub_0021,2026-06-01,42,885,137,2026-08-24
use_0124,co_0070,sub_0021,2026-07-01,17,594,101,2026-08-06
use_0125,co_0070,sub_0021,2026-08-01,11,510,100,2026-08-06
use_0126,co_0070,sub_0021,2026-09-01,12,417,74,2026-09-04
use_0127,co_0072,sub_0022,2026-04-01,35,764,69,2026-09-04
use_0128,co_0072,sub_0022,2026-05-01,29,716,70,2026-08-06
use_0129,co_0072,sub_0022,2026-06-01,16,859,84,2026-09-04
use_0130,co_0072,sub_0022,2026-07-01,6,902,83,2026-09-06
use_0131,co_0072,sub_0022,2026-08-01,12,834,85,2026-09-04
use_0132,co_0072,sub_0022,2026-09-01,17,651,65,2026-09-06
use_0133,co_0044,sub_0023,2026-04-01,42,719,112,2026-09-06
use_0134,co_0044,sub_0023,2026-05-01,35,940,95,2026-09-06
use_0135,co_0044,sub_0023,2026-06-01,47,716,117,2026-09-04
use_0136,co_0044,sub_0023,2026-07-01,44,662,128,2026-08-31
use_0137,co_0044,sub_0023,2026-08-01,44,650,107,2026-09-04
use_0138,co_0044,sub_0023,2026-09-01,7,633,75,2026-09-06
use_0139,co_0063,sub_0024,2026-04-01,20,956,112,2026-09-04
use_0140,co_0063,sub_0024,2026-05-01,54,740,91,2026-09-04
use_0141,co_0063,sub_0024,2026-06-01,4,714,112,2026-09-04
use_0142,co_0063,sub_0024,2026-07-01,48,747,68,2026-07-14
use_0143,co_0063,sub_0024,2026-08-01,12,661,86,2026-09-04
use_0144,co_0063,sub_0024,2026-09-01,12,949,103,2026-08-24
