onboarding_id,subscription_id,company_id,kickoff_date,target_go_live_date,actual_go_live_date,completion_pct,status,owner_id
onb_0001,sub_0001,co_0063,2026-07-08,2026-08-04,,80,Delayed,own_003
onb_0002,sub_0002,co_0080,2026-08-02,2026-08-29,,65,In Progress,own_003
onb_0003,sub_0003,co_0049,2026-08-20,2026-09-16,,65,Delayed,own_003
onb_0004,sub_0004,co_0001,2026-11-23,2026-12-20,,65,In Progress,own_003
onb_0005,sub_0005,co_0060,2026-10-05,2026-11-01,,45,Delayed,own_003
onb_0006,sub_0006,co_0056,2026-10-13,2026-11-09,2026-11-08,100,Completed,own_003
onb_0007,sub_0007,co_0065,2026-10-15,2026-11-11,,65,In Progress,own_003
onb_0008,sub_0008,co_0077,2026-06-24,2026-07-21,,80,In Progress,own_003
onb_0009,sub_0009,co_0049,2026-06-02,2026-06-29,,80,Delayed,own_003
onb_0010,sub_0010,co_0018,2026-03-02,2026-03-29,,65,In Progress,own_004
onb_0011,sub_0011,co_0033,2026-05-06,2026-06-02,,80,In Progress,own_004
onb_0012,sub_0012,co_0014,2026-07-20,2026-08-16,,45,Delayed,own_003
onb_0013,sub_0013,co_0047,2026-04-02,2026-04-29,,65,Delayed,own_004
onb_0014,sub_0014,co_0047,2026-04-11,2026-05-08,2026-05-18,100,Completed,own_003
onb_0015,sub_0015,co_0001,2026-11-16,2026-12-13,2026-12-19,100,Completed,own_003
onb_0016,sub_0016,co_0074,2026-02-27,2026-03-26,,20,In Progress,own_003
onb_0017,sub_0017,co_0065,2026-09-11,2026-10-08,2026-10-03,100,Completed,own_003
onb_0018,sub_0018,co_0044,2026-08-09,2026-09-05,,80,Delayed,own_003
onb_0019,sub_0019,co_0043,2026-05-01,2026-05-28,2026-06-21,100,Completed,own_004
onb_0020,sub_0020,co_0018,2026-03-17,2026-04-13,,65,Delayed,own_003
onb_0021,sub_0021,co_0070,2026-09-01,2026-09-28,2026-10-19,100,Completed,own_004
onb_0022,sub_0022,co_0072,2026-09-17,2026-10-14,2026-10-12,100,Completed,own_004
onb_0023,sub_0023,co_0044,2026-04-14,2026-05-11,2026-06-01,100,Completed,own_003
onb_0024,sub_0024,co_0063,2026-09-11,2026-10-08,2026-10-27,100,Completed,own_003
