company_id,company_name,segment,city,country,employee_count,annual_shipments_est,source,created_at,owner_id
co_0001,Meghna Courier 1,3PL,Cumilla,Bangladesh,25.0,13700,Event,2026-01-27,own_002
co_0002,Bengal Logistics 2,Courier,Dhaka,Bangladesh,140.0,290920,Referral,2025-06-10,own_001
co_0003,Tiger Supply 3,Courier,Narayanganj,Bangladesh,520.0,1077960,website,2026-02-16,own_002
co_0004,Shapla Express 5,Cold Chain,Cumilla,Bangladesh,45.0,97020,Event,2026-04-25,own_001
co_0005,Shapla Express 5,E-commerce Fulfilment,Chittagong,Bangladesh,25.0,50900,Outbound,2025-07-09,own_001
co_0006,Tiger Distribution 6,3PL,Chittagong,Bangladesh,520.0,678080,Event,2026-06-24,own_002
co_0007,Shapla Fulfilment 7,E-commerce Fulfilment,Gazipur,Bangladesh,80.0,61520,website,2026-01-15,own_001
co_0008,Bengal Distribution 8,Pharma Distribution,Gazipur,Bangladesh,12.0,24912,,2025-11-05,own_001
co_0009,Padma Express 9,Pharma Distribution,Dhaka,Bangladesh,12.0,9420,Outbound,2025-01-28,own_001
co_0010,Meghna Distribution 10,Pharma Distribution,Khulna,Bangladesh,520.0,1045200,Unknown,2025-01-25,own_002
co_0011,Padma Logistics 11,Courier,Cumilla,Bangladesh,80.0,107920,LinkedIn,2025-10-11,own_002
co_0012,Meghna Fulfilment 12,Courier,Khulna,Bangladesh,80.0,57280,Event,2026-02-18,own_001
co_0013,Anchor Express 13,Cold Chain,Rajshahi,Bangladesh,25.0,30925,Partner,2026-07-04,own_001
co_0014,Nexa Express 14,Pharma Distribution,Sylhet,Bangladesh,260.0,239200,Partner,2025-11-15,own_002
co_0015,Bengal Courier 15,Cold Chain,Rajshahi,Bangladesh,140.0,302680,Unknown,2025-06-14,own_002
co_0016,Rapid Fulfilment 16,Retail Distribution,Khulna,Bangladesh,260.0,497120,Unknown,2025-09-27,own_002
co_0017,Nexa Courier 17,Pharma Distribution,Cumilla,Bangladesh,45.0,52380,Event,2026-07-19,own_002
co_0018,Rapid Distribution 18,3PL,Narayanganj,Bangladesh,45.0,92070,website,2025-05-12,own_002
co_0019,Padma Express 19,Retail Distribution,Khulna,Bangladesh,,374660,Partner,2026-04-15,own_002
co_0020,Delta Distribution 20,E-commerce Fulfilment,Rajshahi,Bangladesh,45.0,28845,website,2026-01-08,own_002
co_0021,Padma Supply 21,Pharma Distribution,Gazipur,Bangladesh,140.0,115500,,2025-07-01,own_001
co_0022,Meghna Fulfilment 22,Cold Chain,Rajshahi,Bangladesh,45.0,84285,LinkedIn,2025-11-01,own_002
co_0023,Tiger Distribution 23,Courier,Narayanganj,Bangladesh,260.0,341900,Website,2025-09-13,own_002
co_0024,Shapla Supply 24,Courier,Khulna,Bangladesh,520.0,641680,Event,2026-01-28,own_001
co_0025,Tiger Distribution 25,Cold Chain,Sylhet,Bangladesh,45.0,85725,Outbound,2025-12-10,own_002
co_0026,Padma Logistics 26,Courier,Narayanganj,Bangladesh,80.0,143680,LinkedIn,2026-03-30,own_001
co_0027,Padma Logistics 27,Courier,Sylhet,Bangladesh,140.0,220640,Event,2025-03-24,own_001
co_0028,Jamuna Fulfilment 28,Courier,Cumilla,Bangladesh,260.0,535340,,2025-11-26,own_001
co_0029,Padma Logistics 29,Cold Chain,Chittagong,Bangladesh,140.0,208880,Unknown,2025-01-18,own_002
