deal_id,lead_id,company_id,deal_name,stage,stage_probability,amount_eur,weighted_amount_eur,created_at,expected_close_date,closed_at,loss_reason,owner_id
deal_0001,lead_0091,co_0075,PSP Flow rollout - co_0075,Qualified,0.18,3000,540.0,2026-05-30,2026-08-13,,,own_002
deal_0002,lead_0075,co_0065,PSP Flow rollout - co_0065,Negotiation,0.75,6000,4500.0,2026-07-04,2026-08-27,,,own_001
deal_0003,lead_0060,co_0063,PSP Flow rollout - co_0063,Won,1.0,9000,9000.0,2026-06-01,2026-09-01,2026-07-05,,
deal_0004,lead_0018,co_0019,PSP Flow rollout - co_0019,Negotiation,0.75,15000,11250.0,2026-05-25,2026-08-31,,,own_001
deal_0005,lead_0097,co_0078,PSP Flow rollout - co_0078,Demo,0.35,15000,5250.0,2026-07-02,2026-11-06,,,
deal_0006,lead_0095,co_0080,PSP Flow rollout - co_0080,Won,1.0,6000,6000.0,2026-05-04,2026-06-01,2026-07-30,,own_002
deal_0007,lead_0033,co_0048,PSP Flow rollout - co_0048,Proposal,0.55,3000,1650.0,2026-03-22,2026-06-04,,,
deal_0008,lead_0036,co_0049,PSP Flow rollout - co_0049,Won,1.0,9000,9000.0,2026-07-05,2026-10-19,2026-08-17,,
deal_0009,lead_0120,co_0001,PSP Flow rollout - co_0001,Won,1.0,15000,15000.0,2026-09-14,2026-10-31,2026-11-20,,own_001
deal_0010,lead_0014,co_0003,PSP Flow rollout - co_0003,Qualified,0.18,24000,4320.0,2026-03-15,2026-06-14,,,own_002
deal_0011,lead_0021,co_0027,PSP Flow rollout - co_0027,Proposal,0.55,9000,4950.0,2026-05-01,2026-07-08,,,
deal_0012,lead_0076,co_0018,PSP Flow rollout - co_0018,Proposal,0.55,9000,4950.0,2026-01-27,2026-05-26,,,own_001
deal_0013,lead_0098,co_0067,PSP Flow rollout - co_0067,New Lead,0.05,6000,300.0,2026-03-14,2026-07-12,,,own_001
deal_0014,lead_0083,co_0046,PSP Flow rollout - co_0046,Closed Maybe,0.18,6000,1080.0,2026-05-13,2026-07-21,,,own_001
deal_0015,lead_0001,co_0070,PSP Flow rollout - co_0070,Demo,0.35,3000,1050.0,2026-03-21,2026-07-07,,,own_002
deal_0016,lead_0079,co_0060,PSP Flow rollout - co_0060,Won,1.0,15000,15000.0,2026-08-05,2026-11-01,2026-10-02,,own_001
deal_0017,lead_0083,co_0046,PSP Flow rollout - co_0046,Demo,0.35,3000,1050.0,2026-05-14,2026-07-04,,,own_001
deal_0018,lead_0083,co_0046,PSP Flow rollout - co_0046,Proposal,0.55,24000,13200.0,2026-05-19,2026-08-12,,,own_001
deal_0019,lead_0108,co_0044,PSP Flow rollout - co_0044,Qualified,0.18,42000,7560.0,2026-06-11,2026-10-16,,,own_002
deal_0020,lead_0049,co_0056,PSP Flow rollout - co_0056,Won,1.0,9000,9000.0,2026-09-05,2026-09-02,2026-10-10,,
deal_0021,lead_0075,co_0065,PSP Flow rollout - co_0065,Won,1.0,6000,6000.0,2026-07-11,2026-10-09,2026-10-12,,own_001
deal_0022,lead_0071,co_0005,PSP Flow rollout - co_0005,Lost,0.0,24000,0.0,2026-08-04,2026-11-19,2026-11-05,No budget,own_002
deal_0023,lead_0009,co_0044,PSP Flow rollout - co_0044,Demo,0.35,15000,5250.0,2026-02-27,2026-03-30,,,own_001
deal_0024,lead_0026,co_0078,PSP Flow rollout - co_0078,Proposal,0.55,9000,4950.0,2026-09-05,2026-10-06,,,own_001
deal_0025,lead_0113,co_0037,PSP Flow rollout - co_0037,Proposal,0.55,-500,8250.0,2026-10-10,2026-12-27,,,own_002
deal_0026,lead_0024,co_0050,PSP Flow rollout - co_0050,Qualified,0.18,24000,4320.0,2026-08-01,2026-11-10,,,
deal_0027,lead_0050,co_0075,PSP Flow rollout - co_0075,Proposal,0.55,9000,4950.0,2026-07-30,2026-08-27,,,own_002
deal_0028,lead_0028,co_0029,PSP Flow rollout - co_0029,Proposal,0.55,9000,4950.0,2026-06-29,2026-10-29,,,own_001
deal_0029,lead_0080,co_0018,PSP Flow rollout - co_0018,Lost,0.0,6000,0.0,2026-05-02,2026-07-08,2026-05-17,No budget,own_002
deal_0030,lead_0091,co_0075,PSP Flow rollout - co_0075,New Lead,0.05,15000,750.0,2026-05-22,2026-07-05,,,own_002
deal_0031,lead_0029,co_0004,PSP Flow rollout - co_0004,Negotiation,0.75,24000,18000.0,2026-07-06,2026-10-31,,,own_001
deal_0032,lead_0059,co_0018,PSP Flow rollout - co_0018,Demo,0.35,9000,3150.0,2026-07-27,2026-08-22,,,
deal_0033,lead_0073,co_0037,PSP Flow rollout - co_0037,Qualified,0.18,15000,2700.0,2026-08-15,2026-12-19,,,own_002
deal_0034,lead_0052,co_0043,PSP Flow rollout - co_0043,Negotiation,0.75,6000,4500.0,2026-02-16,2026-03-16,,,
deal_0035,lead_0076,co_0018,PSP Flow rollout - co_0018,Proposal,0.55,15000,8250.0,2026-01-27,2026-04-13,,,own_001
deal_0036,lead_0046,co_0012,PSP Flow rollout - co_0012,New Lead,0.05,9000,450.0,2026-05-22,2026-09-12,,,
deal_0037,lead_0009,co_0044,PSP Flow rollout - co_0044,Qualified,0.18,3000,540.0,2026-02-11,2026-04-23,,,own_001
deal_0038,lead_0061,co_0039,PSP Flow rollout - co_0039,Proposal,0.55,6000,3300.0,2026-05-22,2026-09-06,,,own_002
